"","State","Cadre","customid","Facility","Year","Area","HSA","CAF","IAF","WISN"
"1","MP","O and G specialist",10,"Community Health Centre (CHC)",2010,"Urban",0.355926982115195,1.03679369250986,0.0709759188846641,0.439998768935767
"2","MP","O and G specialist",10,"Community Health Centre (CHC)",2008,"Urban",0.352538374876778,1.03679369250986,0.0709759188846641,0.436485482324582
"3","MP","O and G specialist",10,"Community Health Centre (CHC)",2009,"Urban",0.37656668074919,1.03679369250986,0.0709759188846641,0.461397878294797
"4","MP","O and G specialist",10,"Community Health Centre (CHC)",2012,"Urban",0.355249260667512,1.03679369250986,0.0709759188846641,0.43929611161353
"5","MP","O and G specialist",10,"Community Health Centre (CHC)",2011,"Urban",0.24206977890438,1.03679369250986,0.0709759188846641,0.32195233879998
"6","MP","O and G specialist",23,"Community Health Centre (CHC)",2009,"Semi/Peri-Urban",0.462329249401493,1.03679369250986,0.0709759188846641,0.550315968526948
"7","MP","O and G specialist",23,"Community Health Centre (CHC)",2012,"Semi/Peri-Urban",0.587276439938037,1.03679369250986,0.0709759188846641,0.679860427572064
"8","MP","O and G specialist",23,"Community Health Centre (CHC)",2008,"Semi/Peri-Urban",0.454196592029292,1.03679369250986,0.0709759188846641,0.541884080660106
"9","MP","O and G specialist",23,"Community Health Centre (CHC)",2011,"Semi/Peri-Urban",0.542670046472328,1.03679369250986,0.0709759188846641,0.633612800181204
"10","MP","O and G specialist",23,"Community Health Centre (CHC)",2010,"Semi/Peri-Urban",0.475883678355161,1.03679369250986,0.0709759188846641,0.564369114971684
"11","MP","O and G specialist",30,"Community Health Centre (CHC)",2012,"Urban",0.577172229263484,1.03679369250986,0.0709759188846641,0.669384445676897
"12","MP","O and G specialist",30,"Community Health Centre (CHC)",2009,"Urban",0.575816786368117,1.03679369250986,0.0709759188846641,0.667979131032423
"13","MP","O and G specialist",30,"Community Health Centre (CHC)",2011,"Urban",0.585982608083369,1.03679369250986,0.0709759188846641,0.678518990865975
"14","MP","O and G specialist",30,"Community Health Centre (CHC)",2008,"Urban",0.723375228841008,1.03679369250986,0.0709759188846641,0.820966793464895
"15","MP","O and G specialist",30,"Community Health Centre (CHC)",2010,"Urban",0.84271581467399,1.03679369250986,0.0709759188846641,0.944698360116961
"16","MP","O and G specialist",35,"Community Health Centre (CHC)",2009,"Urban",0.204117377834108,1.03679369250986,0.0709759188846641,0.282603528754718
"17","MP","O and G specialist",35,"Community Health Centre (CHC)",2008,"Urban",0.123406914519082,1.03679369250986,0.0709759188846641,0.198923429470151
"18","MP","O and G specialist",35,"Community Health Centre (CHC)",2010,"Urban",0.261169201520913,1.03679369250986,0.0709759188846641,0.341754499699382
"19","MP","O and G specialist",35,"Community Health Centre (CHC)",2011,"Urban",0.245211941980003,1.03679369250986,0.0709759188846641,0.325210113657624
"20","MP","O and G specialist",35,"Community Health Centre (CHC)",2012,"Urban",0.261415645683707,1.03679369250986,0.0709759188846641,0.342010011452922
"21","MP","O and G specialist",70,"Community Health Centre (CHC)",2008,"Urban",0.389480354879594,1.01859024012393,0.0365019011406844,0.433222789341046
"22","MP","O and G specialist",70,"Community Health Centre (CHC)",2010,"Urban",0.46245247148289,1.01859024012393,0.0365019011406844,0.507551475114348
"23","MP","O and G specialist",70,"Community Health Centre (CHC)",2011,"Urban",0.506844106463878,1.01859024012393,0.0365019011406844,0.552768361249127
"24","MP","O and G specialist",70,"Community Health Centre (CHC)",2009,"Urban",0.478422053231939,1.01859024012393,0.0365019011406844,0.523817935222791
"25","MP","O and G specialist",70,"Community Health Centre (CHC)",2012,"Urban",0.465209125475285,1.01859024012393,0.0365019011406844,0.510359375966401
"26","MP","O and G specialist",160,"Community Health Centre (CHC)",2010,"Rural",0.254700042247571,1.03679369250986,0.0709759188846641,0.335047316168939
"27","MP","O and G specialist",160,"Community Health Centre (CHC)",2008,"Rural",0.273676242782707,1.03679369250986,0.0709759188846641,0.35472172119157
"28","MP","O and G specialist",160,"Community Health Centre (CHC)",2009,"Rural",0.240652724968314,1.03679369250986,0.0709759188846641,0.320483146217121
"29","MP","O and G specialist",160,"Community Health Centre (CHC)",2012,"Rural",0.237264117729897,1.03679369250986,0.0709759188846641,0.316969859605937
